Model,Threshold,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
CatBoost,0.5,0.4741,0.9405,0.6304,0.9737,0.7417
Gradient Boosting,0.17,0.4386,0.5405,0.4843,0.9107,0.4822
LightGBM,0.49,0.2815,0.8703,0.4254,0.9339,0.5817
XGBoost,0.5,0.2535,0.8811,0.3937,0.9339,0.5615
Random Forest,0.27,0.2407,0.5568,0.3361,0.8604,0.2864
Extra Trees,0.16,0.2449,0.4541,0.3182,0.8411,0.2679
Decision Tree,0.01,0.2602,0.2757,0.2677,0.6128,0.1152
AdaBoost,0.42,0.1649,0.5189,0.2503,0.8087,0.1654
Naive Bayes,0.45,0.148,0.6865,0.2435,0.7909,0.1495
Logistic Regression,0.44,0.1293,0.9568,0.2278,0.8119,0.1649
SVM,0.06,0.0666,0.7243,0.1219,0.5226,0.0615
KNN,0.01,0.0722,0.2919,0.1158,0.5281,0.0651
