Feature,Mean_Absolute_SHAP
cat__Fault_Third Party,0.0402517173843592
cat__Fault_Policy Holder,0.03664188248677806
cat__VehicleCategory_Sport,0.03087271045778351
cat__BasePolicy_Liability,0.028319864508337254
cat__BasePolicy_All Perils,0.027481688665493696
cat__PolicyType_Sedan - Liability,0.026599453430799076
cat__BasePolicy_Collision,0.023843425705376765
cat__PolicyType_Sedan - All Perils,0.023670909401644614
cat__VehicleCategory_Sedan,0.0219567308422224
cat__VehiclePrice_20000 to 29000,0.018888706039397067
cat__PolicyType_Sedan - Collision,0.01856709524827819
cat__AgeOfPolicyHolder_31 to 35,0.015337749589442016
cat__AgeOfVehicle_more than 7,0.012810724642169981
cat__NumberOfSuppliments_none,0.012501384097654855
cat__PastNumberOfClaims_none,0.01220180878997946
cat__AgeOfVehicle_7 years,0.00917175695043899
cat__Make_Pontiac,0.008989757493823535
cat__AgeOfPolicyHolder_36 to 40,0.00867908005618067
cat__PastNumberOfClaims_2 to 4,0.008664945719040328
cat__AgeOfPolicyHolder_41 to 50,0.008121342672818407
remainder__DriverRating,0.007514422593696167
cat__VehiclePrice_30000 to 39000,0.006781264059891623
cat__MaritalStatus_Married,0.006248795546991488
cat__NumberOfSuppliments_more than 5,0.006215823044444458
cat__Make_Toyota,0.005885534894908033
cat__VehiclePrice_more than 69000,0.005646655980307142
cat__MaritalStatus_Single,0.005374127656850783
remainder__AgeOfPolicyHolder_Clean,0.005089493729125371
cat__PastNumberOfClaims_1,0.004607745017330249
cat__AgeOfVehicle_6 years,0.0045773031726413236
cat__DayOfWeekClaimed_Monday,0.0041542163789367904
remainder__PolicyNumber,0.004012207358165888
cat__DayOfWeekClaimed_Thursday,0.003693792334704283
cat__Sex_Male,0.003487992175561544
cat__Make_Honda,0.003447562886869977
cat__DayOfWeekClaimed_Tuesday,0.003219269696420762
cat__Sex_Female,0.003218787880173982
cat__DayOfWeekClaimed_Friday,0.0029590665065777145
cat__NumberOfSuppliments_1 to 2,0.0027447196532806597
cat__NumberOfSuppliments_3 to 5,0.00243398891569747
cat__PastNumberOfClaims_more than 4,0.0023543447263450414
cat__AccidentArea_Urban,0.0021958126463351947
cat__DayOfWeekClaimed_Wednesday,0.0020330930053894278
cat__VehiclePrice_less than 20000,0.002021812423991967
cat__DayOfWeek_Thursday,0.0020066321333652654
cat__AccidentArea_Rural,0.0019273571910353787
cat__Make_Mazda,0.0019025913413605808
cat__DayOfWeek_Saturday,0.0017748795806009272
remainder__WeekOfMonthClaimed,0.0017562464339759606
cat__AddressChange_Claim_no change,0.0017267892267457349
remainder__Deductible,0.0017032548602383922
remainder__Age,0.0016977387350516388
remainder__Year,0.0016675061275075302
cat__DayOfWeek_Monday,0.0016373881965341048
cat__DayOfWeek_Tuesday,0.0016276143754246047
cat__MonthClaimed_May,0.0016110460176155742
cat__DayOfWeek_Sunday,0.0015511593561811886
cat__Month_Mar,0.001509238927385673
cat__Make_Chevrolet,0.0015045279583342287
remainder__RepNumber,0.0014864540254843565
remainder__WeekOfMonth,0.0014360048203224264
cat__AddressChange_Claim_2 to 3 years,0.0013755979809515766
cat__PolicyType_Sport - Collision,0.0012998305939590537
cat__AgeOfVehicle_5 years,0.0012658284648928277
cat__MonthClaimed_Mar,0.0012596635910191339
cat__Make_Accura,0.0011936221756296034
cat__AgeOfPolicyHolder_51 to 65,0.0011692021571771103
cat__MonthClaimed_Aug,0.0011514181790062668
cat__Month_May,0.0011410959982746621
cat__PolicyType_Utility - All Perils,0.0011188631368641835
cat__DayOfWeek_Friday,0.0010523353837911295
cat__MonthClaimed_Jun,0.001051682133634311
cat__MonthClaimed_Apr,0.0009783868656770838
cat__DayOfWeek_Wednesday,0.0009771828402124942
cat__Month_Apr,0.0008856507882058059
cat__Month_Jun,0.0008755065751220965
cat__MonthClaimed_Sep,0.0008338815563768437
cat__Month_Aug,0.0008090055458014737
cat__MonthClaimed_Oct,0.000797092047864384
cat__Month_Feb,0.0007938151715939653
cat__MonthClaimed_Feb,0.0007821674196036969
cat__Month_Jan,0.000781465806497558
cat__NumberOfCars_1 vehicle,0.0007725023848129035
cat__MonthClaimed_Jan,0.000728734273709176
