iter	Passed	Remaining
0	226	67788
1	243	36268
2	261	25895
3	429	31766
4	450	26585
5	515	25256
6	532	22290
7	569	20781
8	584	18892
9	597	17327
10	612	16098
11	625	15000
12	635	14030
13	649	13275
14	666	12664
15	677	12018
16	686	11432
17	694	10881
18	709	10487
19	743	10403
20	801	10654
21	820	10372
22	894	10771
23	929	10689
24	991	10904
25	1011	10655
26	1042	10543
27	1298	12613
28	1318	12325
29	1454	13086
30	1495	12977
31	1800	15077
32	1867	15110
33	1915	14987
34	2058	15589
35	2077	15234
36	2101	14937
37	2128	14676
38	2148	14375
39	2182	14187
40	2212	13979
41	2235	13735
42	2255	13482
43	2310	13445
44	2324	13171
45	2347	12962
46	2359	12701
47	2377	12479
48	2409	12343
49	2424	12123
50	2451	11969
51	2467	11766
52	2490	11608
53	2513	11448
54	2524	11246
55	2545	11089
56	2557	10902
57	2583	10778
58	2594	10596
59	2615	10461
60	2630	10304
61	2651	10178
62	2663	10021
63	2685	9902
64	2700	9761
65	2795	9910
66	2911	10123
67	2968	10127
68	3034	10157
69	3060	10056
70	3097	9991
71	3125	9898
72	3146	9783
73	3163	9660
74	3176	9530
75	3231	9523
76	3260	9442
77	3274	9319
78	3293	9214
79	3345	9199
80	3360	9085
81	3373	8967
82	3381	8842
83	3396	8735
84	3496	8843
85	3528	8780
86	3565	8728
87	3607	8690
88	3630	8607
89	3670	8563
90	3684	8461
91	3692	8349
92	3701	8238
93	3709	8128
94	3718	8024
95	3786	8046
96	3795	7943
97	3805	7844
98	3819	7754
99	3871	7742
100	3891	7668
101	4067	7895
102	4091	7825
103	4101	7729
104	4110	7633
105	4143	7582
106	4157	7498
107	4168	7411
108	4177	7320
109	4191	7239
110	4200	7152
111	4211	7068
112	4219	6983
113	4229	6901
114	4238	6818
115	4274	6779
116	4299	6724
117	4310	6647
118	4318	6568
119	4397	6595
120	4544	6722
121	4555	6646
122	4569	6575
123	4581	6503
124	4598	6437
125	4619	6379
126	4634	6312
127	4647	6244
128	4655	6171
129	4666	6101
130	4673	6029
131	4682	5959
132	4696	5897
133	4706	5831
134	4716	5764
135	4723	5695
136	4732	5630
137	4740	5564
138	4750	5502
139	4763	5444
140	4770	5380
141	4783	5322
142	4790	5259
143	4799	5199
144	4807	5138
145	4816	5080
146	4823	5020
147	4833	4964
148	4840	4905
149	4849	4849
150	4863	4798
151	4887	4759
152	4900	4708
153	4910	4655
154	4921	4603
155	4932	4552
156	4938	4498
157	4948	4447
158	4955	4394
159	4963	4343
160	4970	4291
161	4978	4241
162	4985	4190
163	4994	4141
164	5001	4091
165	5011	4045
166	5020	3998
167	5036	3956
168	5047	3912
169	5058	3868
170	5065	3821
171	5074	3776
172	5081	3730
173	5090	3685
174	5098	3641
175	5105	3597
176	5112	3552
177	5119	3508
178	5125	3465
179	5133	3422
180	5140	3379
181	5148	3338
182	5155	3296
183	5163	3255
184	5170	3213
185	5179	3174
186	5187	3134
187	5195	3095
188	5202	3055
189	5212	3017
190	5221	2979
191	5233	2944
192	5248	2909
193	5260	2874
194	5272	2839
195	5280	2802
196	5291	2766
197	5300	2730
198	5308	2694
199	5316	2658
200	5323	2622
201	5330	2585
202	5340	2551
203	5349	2517
204	5356	2482
205	5363	2447
206	5551	2494
207	5576	2466
208	5591	2434
209	5600	2400
210	5611	2367
211	5622	2333
212	5635	2301
213	5660	2274
214	5672	2242
215	5682	2209
216	5695	2178
217	5710	2147
218	5720	2115
219	5730	2083
220	5741	2052
221	5748	2019
222	5813	2007
223	5852	1985
224	5883	1961
225	5893	1929
226	5903	1898
227	5912	1866
228	5929	1838
229	5945	1809
230	5953	1778
231	5965	1748
232	5975	1718
233	5983	1687
234	5991	1657
235	5999	1627
236	6011	1597
237	6018	1567
238	6028	1538
239	6036	1509
240	6048	1480
241	6057	1451
242	6097	1430
243	6108	1401
244	6121	1374
245	6130	1345
246	6140	1317
247	6147	1289
248	6229	1275
249	6310	1262
250	6321	1234
251	6341	1207
252	6357	1180
253	6365	1152
254	6418	1132
255	6454	1109
256	6461	1081
257	6490	1056
258	6558	1038
259	6602	1015
260	6643	992
261	6687	969
262	6708	943
263	6723	916
264	6740	890
265	6757	863
266	6782	838
267	6861	819
268	6883	793
269	6893	765
270	6905	738
271	6918	712
272	6931	685
273	6942	658
274	6953	632
275	6963	605
276	6973	579
277	6992	553
278	7019	528
279	7038	502
280	7049	476
281	7059	450
282	7087	425
283	7112	400
284	7119	374
285	7132	349
286	7140	323
287	7147	297
288	7156	272
289	7184	247
290	7202	222
291	7220	197
292	7233	172
293	7244	147
294	7253	122
295	7261	98
296	7268	73
297	7277	48
298	7284	24
299	7293	0
